Informazioni cronologiche,Sesso,Età,Qual è il tuo ruolo principale nel mondo del fitness?  ,  Quante volte a settimana ti alleni in media?  ,"Attualmente, come monitori il tuo percorso (allenamento, dieta, prenotazioni)?","Se utilizzi una o più applicazioni, puoi scrivere il loro nome nel campo qui sotto:","Se usi (o hai usato) strumenti digitali, quanto trovi scomodo dover usare app diverse per allenamento, dieta e prenotazioni? ","Quanto riterresti utile o motivante avere il tuo professionista di fiducia (PT o Nutrizionista) direttamente ""connesso"" alla tua app, per aggiornare la scheda, la dieta e monitorare i tuoi progressi? ",Quanti clienti gestisci in media attualmente?  ,Quali strumenti usi principalmente per fornire schede/diete e comunicare con i clienti?  ,Qual è la tua più grande difficoltà gestionale ad oggi?  ,Quanto troveresti utile un'unica app che integri tutti questi servizi?  ,Quali tra queste funzionalità ritieni fondamentali?  ,"Se potessi migliorare o risolvere un aspetto poco pratico legato all'esperienza digitale in palestra, quale sarebbe?  ","Essendo un progetto universitario, stiamo ancora imparando a fare ricerca sugli utenti. Se hai trovato qualche domanda poco chiara, difficile da interpretare, o se hai consigli su come potremmo strutturare meglio questo questionario, scrivilo pure qui. Ogni feedback è oro per noi!  "
06/03/2026 15.44.33,Maschio,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),4-5,"Uso carta, penna o note sul telefono",,5,5,,,,5,"Programmi di allenamento personalizzati, Monitoraggio progressi con statistiche/grafici, Piano alimentare professionale",Vorrei un app che racchiuda tutto ,
06/03/2026 15.44.56,Maschio,55+,Frequento (o ho frequentato) la palestra (Utente/Cliente),1,Non monitoro nulla,,,5,,,,5,"Comunicazione diretta tramite chat con il personal trainer/nutrizionista, Programmi di allenamento personalizzati",,
06/03/2026 15.46.10,Maschio,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Non monitoro nulla,,3,4,,,,5,"Piano alimentare professionale, Programmi di allenamento personalizzati, Monitoraggio progressi con statistiche/grafici",,
06/03/2026 15.46.18,Femmina,55+,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Non monitoro nulla,,2,3,,,,5,"Monitoraggio progressi con statistiche/grafici, Piano alimentare professionale, Programmi di allenamento personalizzati",Collegamento internet,
06/03/2026 15.46.45,Femmina,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),1,Uso 2 o più applicazione diverse,,2,4,,,,5,"Piano alimentare professionale, Programmi di allenamento personalizzati, Monitoraggio progressi con statistiche/grafici",,
06/03/2026 15.49.53,Femmina,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Non monitoro nulla,,,5,,,,5,"Piano alimentare professionale, Monitoraggio progressi con statistiche/grafici, Programmi di allenamento personalizzati",,
06/03/2026 15.57.43,Maschio,55+,Frequento (o ho frequentato) la palestra (Utente/Cliente),1,Uso un'unica applicazione,Polar flow,2,5,,,,5,"Programmi di allenamento personalizzati, Monitoraggio progressi con statistiche/grafici, Piano alimentare professionale",Na,Non useri il termine frustrazione .. 😉
06/03/2026 16.02.12,Maschio,45-54,Frequento (o ho frequentato) la palestra (Utente/Cliente),Più di 5,Uso 2 o più applicazione diverse,Fitness Pal garmin,2,4,,,,4,"Piano alimentare professionale, Monitoraggio progressi con statistiche/grafici, Accesso rapido in struttura (es. QR Code, Tessera digitale)",,
06/03/2026 16.41.08,Femmina,45-54,Frequento (o ho frequentato) la palestra (Utente/Cliente),1,Non monitoro nulla,,,2,,,,2,"Prenotazione corsi/appuntamenti, Accesso rapido in struttura (es. QR Code, Tessera digitale), Monitoraggio progressi con statistiche/grafici",,
06/03/2026 16.41.10,Maschio,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),1,Non monitoro nulla,Alberto (?),4,4,,,,4,"Piano alimentare professionale, Programmi di allenamento personalizzati, Comunicazione diretta tramite chat con il personal trainer/nutrizionista",,
06/03/2026 16.49.29,Femmina,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Non monitoro nulla,,1,5,,,,5,"Programmi di allenamento personalizzati, Accesso rapido in struttura (es. QR Code, Tessera digitale), Monitoraggio progressi con statistiche/grafici",,
06/03/2026 17.03.17,Maschio,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),1,Non monitoro nulla,,5,5,,,,5,"Accesso rapido in struttura (es. QR Code, Tessera digitale), Comunicazione diretta tramite chat con il personal trainer/nutrizionista, Programmi di allenamento personalizzati",,
06/03/2026 17.26.42,Femmina,45-54,Frequento (o ho frequentato) la palestra (Utente/Cliente),1,Non monitoro nulla,,3,3,,,,5,"Piano alimentare professionale, Monitoraggio progressi con statistiche/grafici, Programmi di allenamento personalizzati",,
06/03/2026 17.34.07,Maschio,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,"Uso carta, penna o note sul telefono",,,2,,,,2,"Piano alimentare professionale, Prenotazione corsi/appuntamenti",L'inesistenza,
06/03/2026 18.37.01,Femmina,55+,Frequento (o ho frequentato) la palestra (Utente/Cliente),1,Non monitoro nulla,,,3,,,,3,"Piano alimentare professionale, Programmi di allenamento personalizzati, Accesso rapido in struttura (es. QR Code, Tessera digitale)",,
06/03/2026 18.48.41,Maschio,55+,Frequento (o ho frequentato) la palestra (Utente/Cliente),1,Uso un'unica applicazione,,1,1,,,,1,Prenotazione corsi/appuntamenti,,
06/03/2026 19.00.16,Femmina,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Non monitoro nulla,,3,4,,,,5,"Programmi di allenamento personalizzati, Piano alimentare professionale, Monitoraggio progressi con statistiche/grafici",,
06/03/2026 19.07.39,Maschio,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,"Uso carta, penna o note sul telefono",,,5,,,,5,"Monitoraggio progressi con statistiche/grafici, Programmi di allenamento personalizzati, Comunicazione diretta tramite chat con il personal trainer/nutrizionista","onestamente ritengo che non ci sia altro che si possa fare per migliorare ulteriormente un mondo come la palestra nell'ambito digitale, se non un qualcosa come l'applicazione che avete indicato nel questionario, in quanto monitorare progressi su un applicazione del genere potrebbe risultare il massimo del progresso/controllo personale. c'è da dire che potrei anche sbagliarmi :)",ahaha
06/03/2026 19.29.22,Femmina,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Non monitoro nulla,,5,5,,,,5,"Programmi di allenamento personalizzati, Piano alimentare professionale, Monitoraggio progressi con statistiche/grafici",Discontinuità ,
06/03/2026 20.01.02,Maschio,35-44,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Non monitoro nulla,,5,5,,,,5,"Piano alimentare professionale, Monitoraggio progressi con statistiche/grafici, Programmi di allenamento personalizzati",,
06/03/2026 20.17.18,Maschio,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Non monitoro nulla,,3,5,,,,4,"Comunicazione diretta tramite chat con il personal trainer/nutrizionista, Monitoraggio progressi con statistiche/grafici, Programmi di allenamento personalizzati",,
06/03/2026 20.23.04,Maschio,55+,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Uso un'unica applicazione,,,,,,,4,"Prenotazione corsi/appuntamenti, Comunicazione diretta tramite chat con il personal trainer/nutrizionista, Accesso rapido in struttura (es. QR Code, Tessera digitale)",,
06/03/2026 20.26.54,Maschio,55+,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Non monitoro nulla,,4,4,,,,4,Programmi di allenamento personalizzati,,
06/03/2026 20.32.05,Maschio,55+,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Uso un'unica applicazione,Virgin,5,2,,,,5,"Prenotazione corsi/appuntamenti, Monitoraggio progressi con statistiche/grafici",...,".,.."
06/03/2026 20.55.34,Femmina,45-54,Frequento (o ho frequentato) la palestra (Utente/Cliente),1,"Uso carta, penna o note sul telefono",,,3,,,,3,"Prenotazione corsi/appuntamenti, Comunicazione diretta tramite chat con il personal trainer/nutrizionista, Monitoraggio progressi con statistiche/grafici",,
06/03/2026 21.15.14,Femmina,55+,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Non monitoro nulla,,4,4,,,,5,"Programmi di allenamento personalizzati, Monitoraggio progressi con statistiche/grafici, Piano alimentare professionale",,
06/03/2026 21.47.43,Maschio,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,"Uso carta, penna o note sul telefono",,,5,,,,5,"Prenotazione corsi/appuntamenti, Programmi di allenamento personalizzati, Piano alimentare professionale",,
06/03/2026 23.09.58,Femmina,55+,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Uso un'unica applicazione,Applicazione salute telefono ,3,5,,,,5,"Piano alimentare professionale, Monitoraggio progressi con statistiche/grafici, Programmi di allenamento personalizzati",,Tutto chiaro 
07/03/2026 10.34.38,Maschio,45-54,Frequento (o ho frequentato) la palestra (Utente/Cliente),1,Uso un'unica applicazione,Strava,1,4,,,,4,"Programmi di allenamento personalizzati, Comunicazione diretta tramite chat con il personal trainer/nutrizionista, Piano alimentare professionale",,
07/03/2026 15.01.17,Femmina,55+,Frequento (o ho frequentato) la palestra (Utente/Cliente),1,Uso un'unica applicazione,,4,4,,,,4,"Comunicazione diretta tramite chat con il personal trainer/nutrizionista, Prenotazione corsi/appuntamenti, Programmi di allenamento personalizzati",,
07/03/2026 23.18.47,Maschio,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Uso un'unica applicazione,,4,4,,,,2,Monitoraggio progressi con statistiche/grafici,,
08/03/2026 21.21.28,Maschio,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,"Uso carta, penna o note sul telefono",,1,5,,,,5,"Piano alimentare professionale, Monitoraggio progressi con statistiche/grafici, Comunicazione diretta tramite chat con il personal trainer/nutrizionista",Esplicitare meglio e in modo completo e progressivo i progressi fatti in palestra,
09/03/2026 11.08.33,Maschio,25-34,Sono un professionista (Personal Trainer/Nutrizionista/Gestore),,,,,,11-20,"WhatsApp/Telegram/Email, Fogli Excel/PDF, Software interno della palestra",Creare e aggiornare schede/diete richiede troppo tempo,4,"Piano alimentare professionale, Accesso rapido in struttura (es. QR Code, Tessera digitale), Prenotazione corsi/appuntamenti",,Tutto ok 
09/03/2026 19.14.58,Maschio,35-44,Frequento (o ho frequentato) la palestra (Utente/Cliente),4-5,"Uso carta, penna o note sul telefono",,5,5,,,,5,"Comunicazione diretta tramite chat con il personal trainer/nutrizionista, Piano alimentare professionale, Programmi di allenamento personalizzati",,
09/03/2026 21.04.59,Maschio,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Uso 2 o più applicazione diverse,Hevy ; Gym Life ; ,1,4,,,,4,"Programmi di allenamento personalizzati, Piano alimentare professionale, Monitoraggio progressi con statistiche/grafici",,
10/03/2026 9.58.13,Maschio,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),1,Non monitoro nulla,,1,3,,,,5,"Accesso rapido in struttura (es. QR Code, Tessera digitale)",,
11/03/2026 11.21.28,Maschio,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),4-5,Non monitoro nulla,,,5,,,,5,"Programmi di allenamento personalizzati, Monitoraggio progressi con statistiche/grafici, Piano alimentare professionale",,
11/03/2026 11.25.54,Maschio,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),4-5,Uso 2 o più applicazione diverse,"numbers, bodymatica",2,4,,,,5,"Accesso rapido in struttura (es. QR Code, Tessera digitale), Comunicazione diretta tramite chat con il personal trainer/nutrizionista, Programmi di allenamento personalizzati",,
11/03/2026 11.51.40,Maschio,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Uso 2 o più applicazione diverse,"Garmin Connect per tracking allenamenti, WhatsApp per prenotazione visite nutrizionista e allenamenti/schede PT",3,5,,,,5,"Comunicazione diretta tramite chat con il personal trainer/nutrizionista, Monitoraggio progressi con statistiche/grafici","avere un'app che ti permetta di consultare facilmente programma di allenamento e piano alimentare senza dover fare affidamento ai file PDF inviati da PT/nutrizionista risolverebbe già il 70% delle scomodità.
Se poi dalla scheda si potessero creare attività personalizzate di tracking dell'attività sportiva sullo smartwatch, sarebbe perfetto.","Nella domanda ""Quali tra queste funzionalità ritieni fondamentali?"" non è chiaro se le opzioni ""programmi di allenamento personalizzati"" e ""piano alimentare professionale"" siano forniti dall'app o dal proprio PT/nutrizionista.
Le domande (e il concetto dell'app) sono molto indirizzate agli utenti/fruitori dei servizi, ma molto meno approfondite per i professionisti (PT/nutrizionisti). È fondamentale che l'app li aiuti a organizzare e gestire al meglio il loro lavoro: se non la utilizzano loro non lo faranno nemmeno i loro clienti."
11/03/2026 13.32.41,Femmina,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Uso un'unica applicazione,Bend,2,2,,,,5,"Piano alimentare professionale, Programmi di allenamento personalizzati, Comunicazione diretta tramite chat con il personal trainer/nutrizionista",,
11/03/2026 15.10.19,Maschio,35-44,Sono un professionista (Personal Trainer/Nutrizionista/Dietista/Dietologo),,,,,,Più di 30,Software interno della palestra,Non ho difficoltà gestionali,5,Programmi di allenamento personalizzati (creati da te o da un professionista),,
12/03/2026 9.30.09,Femmina,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),4-5,Uso 2 o più applicazione diverse,"Blocco Note, Hevy",3,4,,,,5,"Monitoraggio progressi con statistiche/grafici, Accesso rapido in struttura (es. QR Code, Tessera digitale), Programmi di allenamento personalizzati (creati da te o da un professionista)",,
12/03/2026 10.29.53,Maschio,25-34,Sono un professionista (Personal Trainer/Nutrizionista/Dietista/Dietologo),,,,,,Più di 30,"WhatsApp/Telegram/Email, Fogli Excel/PDF",Creare e aggiornare schede/diete richiede troppo tempo,5,"Programmi di allenamento personalizzati (creati da te o da un professionista), Prenotazione corsi/appuntamenti, Monitoraggio progressi con statistiche/grafici",Gestione feedback clienti ,
12/03/2026 10.31.37,Maschio,25-34,Sono un professionista (Personal Trainer/Nutrizionista/Dietista/Dietologo),,,,,,11-20,Fogli Excel/PDF,Dispersione delle comunicazioni con i clienti,5,Comunicazione diretta tramite chat con il personal trainer/nutrizionista,,
12/03/2026 10.47.55,Maschio,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Non monitoro nulla,,4,5,,,,5,"Monitoraggio progressi con statistiche/grafici, Comunicazione diretta tramite chat con il personal trainer/nutrizionista, Accesso rapido in struttura (es. QR Code, Tessera digitale)","Sfortunatamente (o fortunatamente) il digitale è del tutto slegabile dall'attività in palestra. Ritengo che dover utilizzare un'app durante l'allenamento sia poco pratico e distraente, dall'altro lato sarebbe super utile per tutto quello che gravita attorno all'attività vera e propria che si svolge in palestra. Ad esempio per pianificare e tenere traccia degli allenamenti, concordare appuntamenti con il personal trainer (o il nutrizionista), avere sotto mano il piano alimentare per integrarlo con l'attività di allenamento (e viceversa).",
12/03/2026 10.50.44,Femmina,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Uso 2 o più applicazione diverse,GymLife - Yazio,2,4,,,,3,"Piano alimentare professionale (creato apposta per te da un professionista), Programmi di allenamento personalizzati (creati da te o da un professionista), Monitoraggio progressi con statistiche/grafici",Non saprei ,Non saprei. In bocca al lupo 
12/03/2026 11.02.54,Maschio,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),4-5,"Uso carta, penna o note sul telefono",,1,5,,,,5,"Programmi di allenamento personalizzati (creati da te o da un professionista), Piano alimentare professionale (creato apposta per te da un professionista), Monitoraggio progressi con statistiche/grafici",,
12/03/2026 11.03.43,Maschio,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),4-5,Uso un'unica applicazione,evolution fit club,1,3,,,,5,"Accesso rapido in struttura (es. QR Code, Tessera digitale), Programmi di allenamento personalizzati (creati da te o da un professionista), Piano alimentare professionale (creato apposta per te da un professionista)","velocità app , che non si riavvia quando rimane app in background ",
12/03/2026 11.07.09,Maschio,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),4-5,"Uso carta, penna o note sul telefono",,4,3,,,,3,"Monitoraggio progressi con statistiche/grafici, Programmi di allenamento personalizzati (creati da te o da un professionista), Accesso rapido in struttura (es. QR Code, Tessera digitale)",,
12/03/2026 11.10.04,Maschio,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),1,"Uso carta, penna o note sul telefono",,,5,,,,5,"Accesso rapido in struttura (es. QR Code, Tessera digitale), Programmi di allenamento personalizzati (creati da te o da un professionista), Piano alimentare professionale (creato apposta per te da un professionista)",,
12/03/2026 11.13.26,Femmina,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Non monitoro nulla,,2,5,,,,5,"Monitoraggio progressi con statistiche/grafici, Programmi di allenamento personalizzati (creati da te o da un professionista)",,
18/03/2026 7.31.50,Maschio,18-24,Sono un professionista (Personal Trainer/Nutrizionista/Dietista/Dietologo),,,,,,11-20,"WhatsApp/Telegram/Email, Software interno della palestra",Non ho difficoltà gestionali,4,"Prenotazione corsi/appuntamenti, Programmi di allenamento personalizzati (creati da te o da un professionista), Piano alimentare professionale (creato apposta per te da un professionista)",,
18/03/2026 22.03.41,Maschio,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Uso 2 o più applicazione diverse,,3,3,,,,3,"Accesso rapido in struttura (es. QR Code, Tessera digitale)",,
19/03/2026 16.21.31,Maschio,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),4-5,"Uso carta, penna o note sul telefono",,1,3,,,,4,"Prenotazione corsi/appuntamenti, Programmi di allenamento personalizzati (creati da te o da un professionista), Accesso rapido in struttura (es. QR Code, Tessera digitale)",,
20/03/2026 12.14.26,Maschio,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),4-5,Non monitoro nulla,,3,5,,,,5,"Piano alimentare professionale (creato apposta per te da un professionista), Programmi di allenamento personalizzati (creati da te o da un professionista), Monitoraggio progressi con statistiche/grafici",,
21/03/2026 17.33.54,Maschio,25-34,Sono un professionista (Personal Trainer/Nutrizionista/Dietista/Dietologo),,,,,,1-10,"WhatsApp/Telegram/Email, Fogli Excel/PDF, Software interno della palestra",Gestire il calendario e gli appuntamenti,5,"Accesso rapido in struttura (es. QR Code, Tessera digitale), Programmi di allenamento personalizzati (creati da te o da un professionista), Comunicazione diretta tramite chat con il personal trainer/nutrizionista",,
23/03/2026 8.25.25,Femmina,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,"Uso carta, penna o note sul telefono",,5,5,,,,5,"Monitoraggio progressi con statistiche/grafici, Programmi di allenamento personalizzati (creati da te o da un professionista)",,
29/03/2026 20.57.31,Maschio,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Uso 2 o più applicazione diverse,"Motra, apple fitness, technogym",2,4,,,,5,"Programmi di allenamento personalizzati (creati da te o da un professionista), Accesso rapido in struttura (es. QR Code, Tessera digitale), Monitoraggio progressi con statistiche/grafici",,
22/04/2026 13.36.08,Femmina,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),Più di 5,Non monitoro nulla,,2,1,,,,2,"Piano alimentare professionale (creato apposta per te da un professionista), Programmi di allenamento personalizzati (creati da te o da un professionista)",,
14/05/2026 10.55.18,Maschio,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),4-5,Uso 2 o più applicazione diverse,yazio e liftoff,3,5,,,,5,"Comunicazione diretta tramite chat con il personal trainer/nutrizionista, Piano alimentare professionale (creato apposta per te da un professionista), Monitoraggio progressi con statistiche/grafici",,
